Name,ReferenceDate,DailyReturn
S&P 500 Total Return Index,1/2/90,1.7791
S&P 500 Total Return Index,1/3/90,-0.2564
S&P 500 Total Return Index,1/4/90,-0.8178
S&P 500 Total Return Index,1/5/90,-0.9738
S&P 500 Total Return Index,1/8/90,0.46
S&P 500 Total Return Index,1/9/90,-1.1788
S&P 500 Total Return Index,1/10/90,-0.6577
S&P 500 Total Return Index,1/11/90,0.3511
S&P 500 Total Return Index,1/12/90,-2.4519
S&P 500 Total Return Index,1/15/90,-0.8625
S&P 500 Total Return Index,1/16/90,1.1186
S&P 500 Total Return Index,1/17/90,-0.9778
S&P 500 Total Return Index,1/18/90,0.2317
S&P 500 Total Return Index,1/19/90,0.289
S&P 500 Total Return Index,1/22/90,-2.5766
S&P 500 Total Return Index,1/23/90,0.3718
S&P 500 Total Return Index,1/24/90,-2.2225
S&P 500 Total Return Index,1/25/90,0.5941
S&P 500 Total Return Index,1/26/90,-0.0742
S&P 500 Total Return Index,1/29/90,-0.1656
S&P 500 Total Return Index,1/30/90,-0.6549
S&P 500 Total Return Index,1/31/90,1.8884
S&P 500 Total Return Index,2/1/90,-0.0735
S&P 500 Total Return Index,2/2/90,0.6616
S&P 500 Total Return Index,2/5/90,0.3539
S&P 500 Total Return Index,2/6/90,-0.6242
S&P 500 Total Return Index,2/7/90,1.2618
S&P 500 Total Return Index,2/8/90,-0.2309
S&P 500 Total Return Index,2/9/90,0.2453
S&P 500 Total Return Index,2/12/90,-1.0262
S&P 500 Total Return Index,2/13/90,0.3147
S&P 500 Total Return Index,2/14/90,0.3053
S&P 500 Total Return Index,2/15/90,0.8741
S&P 500 Total Return Index,2/16/90,-0.6201
S&P 500 Total Return Index,2/20/90,-1.4151
S&P 500 Total Return Index,2/21/90,-0.0961
S&P 500 Total Return Index,2/22/90,-0.5911
S&P 500 Total Return Index,2/23/90,-0.4495
S&P 500 Total Return Index,2/26/90,1.4233
S&P 500 Total Return Index,2/27/90,0.5016
S&P 500 Total Return Index,2/28/90,0.5159
S&P 500 Total Return Index,3/1/90,0.2678
S&P 500 Total Return Index,3/2/90,0.8429
S&P 500 Total Return Index,3/5/90,-0.4993
S&P 500 Total Return Index,3/6/90,1.2643
S&P 500 Total Return Index,3/7/90,-0.2875
S&P 500 Total Return Index,3/8/90,0.9885
S&P 500 Total Return Index,3/9/90,-0.6444
S&P 500 Total Return Index,3/12/90,0.2244
S&P 500 Total Return Index,3/13/90,-0.7836
