Name,ReferenceDate,DailyReturn,Add1InPercentSpace,Total Return
S&P 500 Total Return Index,1/2/90,1.7791,1.017791,1.7791%
S&P 500 Total Return Index,1/3/90,-0.2564,0.997436,1.5181%
S&P 500 Total Return Index,1/4/90,-0.8178,0.991822,0.6879%
S&P 500 Total Return Index,1/5/90,-0.9738,0.990262,-0.2926%
S&P 500 Total Return Index,1/8/90,0.46,1.0046,0.1661%
S&P 500 Total Return Index,1/9/90,-1.1788,0.988212,-1.0147%
S&P 500 Total Return Index,1/10/90,-0.6577,0.993423,-1.6657%
S&P 500 Total Return Index,1/11/90,0.3511,1.003511,-1.3205%
S&P 500 Total Return Index,1/12/90,-2.4519,0.975481,-3.7400%
S&P 500 Total Return Index,1/15/90,-0.8625,0.991375,-4.5702%
S&P 500 Total Return Index,1/16/90,1.1186,1.011186,-3.5027%
S&P 500 Total Return Index,1/17/90,-0.9778,0.990222,-4.4463%
S&P 500 Total Return Index,1/18/90,0.2317,1.002317,-4.2249%
S&P 500 Total Return Index,1/19/90,0.289,1.00289,-3.9481%
S&P 500 Total Return Index,1/22/90,-2.5766,0.974234,-6.4230%
S&P 500 Total Return Index,1/23/90,0.3718,1.003718,-6.0751%
S&P 500 Total Return Index,1/24/90,-2.2225,0.977775,-8.1625%
S&P 500 Total Return Index,1/25/90,0.5941,1.005941,-7.6169%
S&P 500 Total Return Index,1/26/90,-0.0742,0.999258,-7.6855%
S&P 500 Total Return Index,1/29/90,-0.1656,0.998344,-7.8384%
S&P 500 Total Return Index,1/30/90,-0.6549,0.993451,-8.4419%
S&P 500 Total Return Index,1/31/90,1.8884,1.018884,-6.7129%
S&P 500 Total Return Index,2/1/90,-0.0735,0.999265,-6.7815%
S&P 500 Total Return Index,2/2/90,0.6616,1.006616,-6.1648%
S&P 500 Total Return Index,2/5/90,0.3539,1.003539,-5.8327%
S&P 500 Total Return Index,2/6/90,-0.6242,0.993758,-6.4205%
S&P 500 Total Return Index,2/7/90,1.2618,1.012618,-5.2397%
S&P 500 Total Return Index,2/8/90,-0.2309,0.997691,-5.4585%
S&P 500 Total Return Index,2/9/90,0.2453,1.002453,-5.2266%
S&P 500 Total Return Index,2/12/90,-1.0262,0.989738,-6.1992%
S&P 500 Total Return Index,2/13/90,0.3147,1.003147,-5.9040%
S&P 500 Total Return Index,2/14/90,0.3053,1.003053,-5.6167%
S&P 500 Total Return Index,2/15/90,0.8741,1.008741,-4.7917%
S&P 500 Total Return Index,2/16/90,-0.6201,0.993799,-5.3821%
S&P 500 Total Return Index,2/20/90,-1.4151,0.985849,-6.7210%
S&P 500 Total Return Index,2/21/90,-0.0961,0.999039,-6.8106%
S&P 500 Total Return Index,2/22/90,-0.5911,0.994089,-7.3615%
S&P 500 Total Return Index,2/23/90,-0.4495,0.995505,-7.7779%
S&P 500 Total Return Index,2/26/90,1.4233,1.014233,-6.4653%
S&P 500 Total Return Index,2/27/90,0.5016,1.005016,-5.9961%
S&P 500 Total Return Index,2/28/90,0.5159,1.005159,-5.5112%
S&P 500 Total Return Index,3/1/90,0.2678,1.002678,-5.2581%
S&P 500 Total Return Index,3/2/90,0.8429,1.008429,-4.4595%
S&P 500 Total Return Index,3/5/90,-0.4993,0.995007,-4.9366%
S&P 500 Total Return Index,3/6/90,1.2643,1.012643,-3.7347%
S&P 500 Total Return Index,3/7/90,-0.2875,0.997125,-4.0115%
S&P 500 Total Return Index,3/8/90,0.9885,1.009885,-3.0626%
